,distilbert-base-uncased,bert-base-uncased,biobert,bioclinicalbert,medbert
0,0.12368815592203898,0.12678682411435674,0.31273549359457425,0.055860805860805864,0.23056300268096513
1,0.3399503722084367,0.35108958837772397,0.5056481979558902,0.37711442786069654,0.4215143120960296
2,0.44387493593029215,0.4534506716072256,0.5865229110512129,0.4708668877309332,0.5004694835680751
3,0.5076481835564054,0.5226014760147601,0.5883554647599591,0.5501747378931603,0.5549188156638013
4,0.5349753694581281,0.5537027954879843,0.6304464766003227,0.5815047021943573,0.5671927307508369
5,0.541095890410959,0.565597667638484,0.6356425171866738,0.6055327868852459,0.5880019831432821
6,0.5592105263157895,0.5763377515954835,0.6442411194833154,0.5990806945863125,0.5959244532803181
7,0.5509396636993076,0.5803134182174339,0.6404255319148936,0.6061224489795919,0.5965432098765432
8,0.5567567567567567,0.5747915644923982,0.6471849865951743,0.5992835209825998,0.599204375932372
9,0.5607707509881423,0.577560975609756,0.644869750132908,0.6023481368044921,0.6007924715205547
