,distilbert-base-uncased,bert-base-uncased,biobert,bioclinicalbert,medbert
0,1.8849385976791382,2.0127692222595215,1.7141869068145752,2.166161060333252,1.7241424322128296
1,1.3189280033111572,1.3652801513671875,1.0222223997116089,1.4502087831497192,1.115625262260437
2,1.0913238525390625,1.0722545385360718,0.8590016961097717,1.0497373342514038,0.9024335741996765
3,0.9778834581375122,0.9446302056312561,0.8011186718940735,0.9014962315559387,0.8327516913414001
4,0.916430652141571,0.8883139491081238,0.7807080745697021,0.8734786510467529,0.8004881739616394
5,0.9053686857223511,0.8791190385818481,0.7761589884757996,0.8589046597480774,0.8107797503471375
6,0.8880450129508972,0.8736664056777954,0.8026163578033447,0.8649240732192993,0.8140847682952881
7,0.9060279726982117,0.8937473297119141,0.8106677532196045,0.8735148310661316,0.8289552330970764
8,0.8967897891998291,0.8840726017951965,0.815375566482544,0.8882443308830261,0.8338852524757385
9,0.8994988799095154,0.8961626887321472,0.8198779821395874,0.8901413679122925,0.8434005975723267
