,distilbert-base-uncased,bert-base-uncased,biobert,bioclinicalbert,medbert
0,0.293297039809459,0.25569921742089147,0.4583883751651255,0.16938540121931125,0.38721928665786
1,0.5117386866281048,0.5168424634229329,0.6443196829590488,0.5404514747075301,0.6167437252311757
2,0.5826811840762164,0.6253827832596122,0.690224570673712,0.6615587411435162,0.6727212681638045
3,0.642395372575706,0.6801633208574345,0.7140026420079261,0.702092601746581,0.7052509907529723
4,0.6549846886696156,0.6782919360326641,0.7211030383091149,0.7015982863733728,0.7182959048877147
5,0.656345695814903,0.6873086083701939,0.7306803170409512,0.7246663371230845,0.719782034346103
6,0.6595780877849609,0.6944538958829534,0.7311756935270806,0.7223595320481133,0.7184610303830912
7,0.6624702279686968,0.6890098673018034,0.7348084544253632,0.7254901960784313,0.7242404227212682
8,0.6679142565498469,0.6917318815923783,0.7311756935270806,0.7188993244356566,0.7249009247027741
9,0.6684246342293297,0.6939435182034706,0.7349735799207398,0.7254901960784313,0.72556142668428
